,Country_Region,date,cases,new_cases
0,US,2020-01-22,1,
1,US,2020-01-23,1,0.0
2,US,2020-01-24,2,1.0
3,US,2020-01-25,2,0.0
4,US,2020-01-26,5,3.0
5,US,2020-01-27,5,0.0
6,US,2020-01-28,5,0.0
7,US,2020-01-29,5,0.0
8,US,2020-01-30,5,0.0
9,US,2020-01-31,7,2.0
10,US,2020-02-01,8,1.0
11,US,2020-02-02,8,0.0
12,US,2020-02-03,11,3.0
13,US,2020-02-04,11,0.0
14,US,2020-02-05,11,0.0
15,US,2020-02-06,11,0.0
16,US,2020-02-07,11,0.0
17,US,2020-02-08,11,0.0
18,US,2020-02-09,11,0.0
19,US,2020-02-10,11,0.0
20,US,2020-02-11,12,1.0
21,US,2020-02-12,12,0.0
22,US,2020-02-13,13,1.0
23,US,2020-02-14,13,0.0
24,US,2020-02-15,13,0.0
25,US,2020-02-16,13,0.0
26,US,2020-02-17,13,0.0
27,US,2020-02-18,13,0.0
28,US,2020-02-19,13,0.0
29,US,2020-02-20,13,0.0
30,US,2020-02-21,15,2.0
31,US,2020-02-22,15,0.0
32,US,2020-02-23,15,0.0
33,US,2020-02-24,15,0.0
34,US,2020-02-25,15,0.0
35,US,2020-02-26,15,0.0
36,US,2020-02-27,16,1.0
37,US,2020-02-28,16,0.0
38,US,2020-02-29,24,8.0
39,US,2020-03-01,30,6.0
40,US,2020-03-02,53,23.0
41,US,2020-03-03,73,20.0
42,US,2020-03-04,104,31.0
43,US,2020-03-05,174,70.0
44,US,2020-03-06,222,48.0
45,US,2020-03-07,337,115.0
46,US,2020-03-08,451,114.0
47,US,2020-03-09,519,68.0
48,US,2020-03-10,711,192.0
49,US,2020-03-11,1109,398.0
50,US,2020-03-12,1561,452.0
51,US,2020-03-13,2149,588.0
52,US,2020-03-14,2859,710.0
53,US,2020-03-15,2955,96.0
54,US,2020-03-16,4336,1381.0
55,US,2020-03-17,6112,1776.0
56,US,2020-03-18,8871,2759.0
57,US,2020-03-19,14095,5224.0
58,US,2020-03-20,19404,5309.0
59,US,2020-03-21,25725,6321.0
60,US,2020-03-22,33638,7913.0
61,US,2020-03-23,43682,10044.0
62,US,2020-03-24,53925,10243.0
63,US,2020-03-25,65844,11919.0
64,US,2020-03-26,83836,17992.0
65,US,2020-03-27,101962,18126.0
66,US,2020-03-28,121786,19824.0
67,US,2020-03-29,140910,19124.0
68,US,2020-03-30,162147,21237.0
69,US,2020-03-31,188172,26025.0
70,US,2020-04-01,213602,25430.0
71,US,2020-04-02,244008,30406.0
72,US,2020-04-03,275798,31790.0
73,US,2020-04-04,309027,33229.0
74,US,2020-04-05,336802,27775.0
75,US,2020-04-06,366317,29515.0
76,US,2020-04-07,397121,30804.0
77,US,2020-04-08,428654,31533.0
78,US,2020-04-09,463327,34673.0
79,US,2020-04-10,496846,33519.0
80,US,2020-04-11,526776,29930.0
81,US,2020-04-12,555313,28537.0
82,US,2020-04-13,580624,25311.0
83,US,2020-04-14,607670,27046.0
84,US,2020-04-15,636674,29004.0
85,US,2020-04-16,667981,31307.0
86,US,2020-04-17,700062,32081.0
87,US,2020-04-18,728352,28290.0
88,US,2020-04-19,754376,26024.0
89,US,2020-04-20,780064,25688.0
90,US,2020-04-21,807023,26959.0
91,US,2020-04-22,835150,28127.0
92,US,2020-04-23,869170,34020.0
93,US,2020-04-24,905358,36188.0
94,US,2020-04-25,938154,32796.0
95,US,2020-04-26,965785,27631.0
96,US,2020-04-27,988197,22412.0
97,US,2020-04-28,1012582,24385.0
98,US,2020-04-29,1039909,27327.0
99,US,2020-04-30,1069424,29515.0
100,US,2020-05-01,1103461,34037.0
101,US,2020-05-02,1132539,29078.0
102,US,2020-05-03,1158040,25501.0
103,US,2020-05-04,1180375,22335.0
104,US,2020-05-05,1204351,23976.0
105,US,2020-05-06,1229331,24980.0
106,US,2020-05-07,1257023,27692.0
107,US,2020-05-08,1283929,26906.0
108,US,2020-05-09,1309550,25621.0
109,US,2020-05-10,1329260,19710.0
110,US,2020-05-11,1347881,18621.0
111,US,2020-05-12,1369574,21693.0
112,US,2020-05-13,1390406,20832.0
113,US,2020-05-14,1417774,27368.0
114,US,2020-05-15,1442824,25050.0
115,US,2020-05-16,1467820,24996.0
116,US,2020-05-17,1486757,18937.0
117,US,2020-05-18,1508308,21551.0
118,US,2020-05-19,1528568,20260.0
119,US,2020-05-20,1551853,23285.0
120,US,2020-05-21,1577147,25294.0
121,US,2020-05-22,1600937,23790.0
122,US,2020-05-23,1622612,21675.0
123,US,2020-05-24,1643246,20634.0
